2024-09-26 15:57:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-09-26 15:57:31 [main] INFO  p.g.c.Chap6ProfileConfigApplicationTests - Starting Chap6ProfileConfigApplicationTests using Java 17.0.12 with PID 3724 (started by Galina in C:\Users\soglg\IdeaProjects\spring-in-action-demo\chap6-profile-config)
2024-09-26 15:57:31 [main] INFO  p.g.c.Chap6ProfileConfigApplicationTests - The following 1 profile is active: "dev"
2024-09-26 15:57:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-26 15:57:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 3 JPA repository interfaces.
2024-09-26 15:57:33 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-26 15:57:33 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-09-26 15:57:33 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-09-26 15:57:34 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-09-26 15:57:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - tacoclouddev - Starting...
2024-09-26 15:57:34 [main] INFO  com.zaxxer.hikari.pool.HikariPool - tacoclouddev - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-09-26 15:57:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - tacoclouddev - Start completed.
2024-09-26 15:57:35 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-09-26 15:57:35 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-09-26 15:57:36 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-09-26 15:57:37 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-09-26 15:57:37 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-09-26 15:57:37 [main] INFO  p.g.c.Chap6ProfileConfigApplicationTests - Started Chap6ProfileConfigApplicationTests in 7.127 seconds (process running for 8.467)
2024-09-26 15:57:38 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pt.galina.chap6profileconfig.config.OrderPropsTest]: OrderPropsTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-09-26 15:57:38 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pt.galina.chap6profileconfig.Chap6ProfileConfigApplication for test class pt.galina.chap6profileconfig.config.OrderPropsTest
2024-09-26 15:57:38 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
2024-09-26 15:57:38 [main] INFO  p.g.c.config.OrderPropsTest - Starting OrderPropsTest using Java 17.0.12 with PID 3724 (started by Galina in C:\Users\soglg\IdeaProjects\spring-in-action-demo\chap6-profile-config)
2024-09-26 15:57:38 [main] INFO  p.g.c.config.OrderPropsTest - The following 1 profile is active: "dev"
2024-09-26 15:57:39 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-26 15:57:39 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 3 JPA repository interfaces.
2024-09-26 15:57:39 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-26 15:57:39 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-09-26 15:57:39 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-09-26 15:57:39 [main] INFO  com.zaxxer.hikari.HikariDataSource - tacoclouddev - Starting...
